gruppoPar,gender
UNIONE NAZIONALE ,female
LEGA - SALVINI PREMIER ,female
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA ,female
FRATELLI D'ITALIA ,female
MISTO ,female
MOVIMENTO 5 STELLE ,female
MISTO ,female
MOVIMENTO 5 STELLE ,female
FRATELLI D'ITALIA ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
MOVIMENTO 5 STELLE ,female
LEGA - SALVINI PREMIER ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
ITALIA VIVA ,female
MOVIMENTO 5 STELLE ,female
INSIEME PER IL FUTURO ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
LEGA - SALVINI PREMIER ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
LEGA - SALVINI PREMIER ,female
PARTITO DEMOCRATICO ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
INSIEME PER IL FUTURO ,female
LEGA - SALVINI PREMIER ,female
ITALIA VIVA ,female
LEGA - SALVINI PREMIER ,female
ITALIA VIVA ,female
LEGA - SALVINI PREMIER ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
LEGA - SALVINI PREMIER ,female
LEGA - SALVINI PREMIER ,female
FRATELLI D'ITALIA ,female
LEGA - SALVINI PREMIER ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
LEGA - SALVINI PREMIER ,female
LEGA - SALVINI PREMIER ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
MISTO ,female
MISTO ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
INSIEME PER IL FUTURO ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
LEGA - SALVINI PREMIER ,female
MOVIMENTO 5 STELLE ,female
LEGA - SALVINI PREMIER ,female
MISTO ,female
LEGA - SALVINI PREMIER ,female
MOVIMENTO 5 STELLE ,female
LEGA - SALVINI PREMIER ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MISTO ,female
ITALIA VIVA ,female
FRATELLI D'ITALIA ,female
PARTITO DEMOCRATICO ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE ,female
MOVIMENTO 5 STELLE ,female
FRATELLI D'ITALIA ,female
LEGA - SALVINI PREMIER ,female
LEGA - SALVINI PREMIER ,female
LEGA - SALVINI PREMIER ,female
LEGA - SALVINI PREMIER ,female
LEGA - SALVINI PREMIER ,female
LEGA - SALVINI PREMIER ,female
LEGA - SALVINI PREMIER ,female
LEGA - SALVINI PREMIER ,female
MISTO ,female
INSIEME PER IL FUTURO ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
LEGA - SALVINI PREMIER ,female
PARTITO DEMOCRATICO ,female
MOVIMENTO 5 STELLE ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE ,female
FRATELLI D'ITALIA ,female
FRATELLI D'ITALIA ,female
AZIONE - ITALIA VIVA - RENEW EUROPE ,female
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA ,female
NOI MODERATI ,female
FRATELLI D'ITALIA ,female
NOI MODERATI ,female
LEGA - SALVINI PREMIER ,female
FRATELLI D'ITALIA ,female
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA ,female
MISTO ,female
LEGA - SALVINI PREMIER ,female
LEGA - SALVINI PREMIER ,female
FRATELLI D'ITALIA ,female
FRATELLI D'ITALIA ,female
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA ,female
FRATELLI D'ITALIA ,female
ALLEANZA VERDI E SINISTRA ,female
LEGA - SALVINI PREMIER ,female
FRATELLI D'ITALIA ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE ,female
FRATELLI D'ITALIA ,female
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA ,female
FRATELLI D'ITALIA ,female
MOVIMENTO 5 STELLE ,female
FRATELLI D'ITALIA ,female
MOVIMENTO 5 STELLE ,female
FRATELLI D'ITALIA ,female
FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE ,female
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA ,female
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA ,female
FRATELLI D'ITALIA ,female
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA ,female
FRATELLI D'ITALIA ,female
MOVIMENTO 5 STELLE ,female
FRATELLI D'ITALIA ,female
FRATELLI D'ITALIA ,female
MOVIMENTO 5 STELLE ,female
PARTITO DEMOCRATICO ,female
MISTO ,female
LEGA - SALVINI PREMIER ,female
PARTITO DEMOCRATICO ,female
CORAGGIO ITALIA ,female
PARTITO DEMOCRATICO ,female
PARTITO DEMOCRATICO ,female
FRATELLI D'ITALIA ,female
LEGA - SALVINI PREMIER ,female
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
FRONTE LIBERALE DEMOCRATICO DELL'UOMO QUALUNQUE ,male
FRONTE LIBERALE DEMOCRATICO DELL'UOMO QUALUNQUE ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA LAVORATORI ITALIANI ,male
COMUNISTA ,male
PARTITO NAZIONALE MONARCHICO ,male
PARTITO SOCIALISTA LAVORATORI ITALIANI ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA LAVORATORI ITALIANI ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
REPUBBLICANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO ,male
COMUNISTA ,male
PARTITO NAZIONALE MONARCHICO ,male
COMUNISTA ,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
COMUNISTA ,male
COMUNISTA ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO NAZIONALE MONARCHICO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
COMUNISTA ,male
COMUNISTA ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
LIBERALE ,male
DEMOCRATICO CRISTIANO ,male
FRONTE LIBERALE DEMOCRATICO DELL'UOMO QUALUNQUE ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
COMUNISTA ,male
PARTITO SOCIALISTA ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
MOVIMENTO SOCIALE ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
UNIONE DEMOCRATICA NAZIONALE ,male
PARTITO SOCIALISTA ITALIANO ,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
COMUNISTA ,male
PARTITO REPUBBLICANO ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
COMUNISTA ,male
COMUNISTA ,male
REPUBBLICANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
UNIONE DEMOCRATICA NAZIONALE ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
LIBERALE ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
MISTO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
MISTO ,male
DEMOCRATICO CRISTIANO ,male
MISTO ,male
FRONTE LIBERALE DEMOCRATICO DELL'UOMO QUALUNQUE ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA LAVORATORI ITALIANI ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
REPUBBLICANO ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA LAVORATORI ITALIANI ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
PARTITO MONARCHICO POPOLARE ,male
PER L'ITALIA - CENTRO DEMOCRATICO ,male
MISTO ,male
FRATELLI D'ITALIA-ALLEANZA NAZIONALE ,male
MOVIMENTO 5 STELLE ,male
MOVIMENTO 5 STELLE ,male
MOVIMENTO 5 STELLE ,male
MISTO ,male
MOVIMENTO 5 STELLE ,male
MOVIMENTO 5 STELLE ,male
INSIEME PER IL FUTURO ,male
MISTO ,male
MOVIMENTO 5 STELLE ,male
MOVIMENTO 5 STELLE ,male
MOVIMENTO 5 STELLE ,male
MISTO ,male
MOVIMENTO 5 STELLE ,male
INSIEME PER IL FUTURO ,male
MOVIMENTO 5 STELLE ,male
LEGA - SALVINI PREMIER ,male
MOVIMENTO 5 STELLE ,male
MOVIMENTO 5 STELLE ,male
MOVIMENTO 5 STELLE ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA UNITARIO ,male
MOVIMENTO SOCIALE ITALIANO - DESTRA NAZIONALE ,male
COMUNISTA ,male
COMUNISTA ,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO COMUNISTA ITALIANO ,male
COMUNISTA ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO LIBERALE ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
COMUNISTA ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
FRONTE LIBERALE DEMOCRATICO DELL'UOMO QUALUNQUE ,male
UNIONE DEMOCRATICA NAZIONALE ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
UNIONE DEMOCRATICA NAZIONALE ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
PARTITO MONARCHICO POPOLARE ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRAZIA DEL LAVORO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA LAVORATORI ITALIANI ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
COMUNISTA ,male
FRONTE LIBERALE DEMOCRATICO DELL'UOMO QUALUNQUE ,male
FRONTE LIBERALE DEMOCRATICO DELL'UOMO QUALUNQUE ,male
DEMOCRATICO CRISTIANO ,male
PARTITO NAZIONALE MONARCHICO ,male
UNIONE NAZIONALE ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO NAZIONALE MONARCHICO ,male
FRONTE LIBERALE DEMOCRATICO DELL'UOMO QUALUNQUE ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
PARTITO SOCIALISTA LAVORATORI ITALIANI ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
LIBERALE ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
LIBERALE ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
PARTITO NAZIONALE MONARCHICO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA LAVORATORI ITALIANI ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
FRONTE LIBERALE DEMOCRATICO DELL'UOMO QUALUNQUE ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA LAVORATORI ITALIANI ,male
DEMOCRATICO CRISTIANO ,male
REPUBBLICANO ,male
PARTITO SOCIALISTA ITALIANO ,male
MISTO ,male
COMUNISTA ,male
COMUNISTA ,male
PARTITO SOCIALISTA ITALIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
FRONTE LIBERALE DEMOCRATICO DELL'UOMO QUALUNQUE ,male
PARTITO SOCIALISTA LAVORATORI ITALIANI ,male
MOVIMENTO SOCIALE ITALIANO ,male
UNIONE NAZIONALE ,male
PARTITO SOCIALISTA ITALIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
UNIONE NAZIONALE ,male
PARTITO MONARCHICO POPOLARE ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
BLOCCO NAZIONALE DELLA LIBERTA' ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
LIBERALE ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
MISTO ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
MISTO ,male
PARTITO SOCIALISTA LAVORATORI ITALIANI ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA LAVORATORI ITALIANI ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
COMUNISTA ,male
PARTITO NAZIONALE MONARCHICO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
MSI-DESTRA NAZIONALE ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
COMUNISTA ,male
MOVIMENTO SOCIALE ITALIANO - DESTRA NAZIONALE ,male
PARTITO COMUNISTA ITALIANO ,male
MOVIMENTO SOCIALE ITALIANO - DESTRA NAZIONALE ,male
PARTITO LIBERALE ITALIANO ,male
PARTITO SOCIALISTA UNITARIO ,male
COMUNISTA ,male
COMUNISTA ,male
PARTITO COMUNISTA ITALIANO ,male
MISTO ,male
MOVIMENTO SOCIALE ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRAZIA CRISTIANA ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
PARTITO LIBERALE ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
PARTITO DEMOCRATICO ITALIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI ,male
DEMOCRATICO CRISTIANO ,male
PARTITO DEMOCRATICO ITALIANO ,male
COMUNISTA ,male
PARTITO MONARCHICO POPOLARE ,male
DEMOCRATICO CRISTIANO ,male
PARTITO LIBERALE ITALIANO ,male
PARTITO LIBERALE ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
MISTO ,male
COMUNISTA ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
LIBERALE ,male
DEMOCRAZIA CRISTIANA ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
LIBERALE ,male
MOVIMENTO SOCIALE ITALIANO ,male
MISTO ,male
DEMOCRATICO CRISTIANO ,male
MOVIMENTO SOCIALE ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO SOCIALISTA LAVORATORI ITALIANI ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
MOVIMENTO SOCIALE ITALIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRAZIA DEL LAVORO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO NAZIONALE MONARCHICO ,male
LIBERALE ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
PARTITO SOCIALISTA ITALIANO ,male
PARTITO SOCIALISTA LAVORATORI ITALIANI ,male
DEMOCRATICO CRISTIANO ,male
PARTITO COMUNISTA ITALIANO ,male
COMUNISTA ,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
MOVIMENTO SOCIALE ITALIANO ,male
COMUNISTA ,male
MOVIMENTO SOCIALE ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA DEI LAVORATORI ITALIANI ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
COMUNISTA ,male
COMUNISTA ,male
PARTITO SOCIALISTA ITALIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
PARTITO DEMOCRATICO ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
COMUNISTA ,male
PARTITO SOCIALISTA ,male
MOVIMENTO SOCIALE ITALIANO ,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
MISTO ,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO ,male
COMUNISTA ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
PARTITO NAZIONALE MONARCHICO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
SINISTRA INDIPENDENTE ,male
MISTO ,male
COMUNISTA ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
COMUNISTA ,male
DEMOCRATICO CRISTIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRATICO CRISTIANO ,male
DEMOCRATICO CRISTIANO ,male
PARTITO LIBERALE ITALIANO ,male
FORZA ITALIA ,male
ALLEANZA NAZIONALE - MSI ,male
DEMOCRATICO CRISTIANO ,male
PARTITO LIBERALE ITALIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
PARTITO NAZIONALE MONARCHICO ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
MOVIMENTO SOCIALE ITALIANO - DESTRA NAZIONALE ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO SOCIALISTA ITALIANO DI UNITA' PROLETARIA ,male
PARTITO SOCIALISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO SOCIALISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
MOVIMENTO SOCIALE ITALIANO - DESTRA NAZIONALE ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
DEMOCRAZIA CRISTIANA ,male
DEMOCRAZIA CRISTIANA ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
DEMOCRAZIA PROLETARIA ,male
PARTITO COMUNISTA ITALIANO ,male
DEMOCRAZIA CRISTIANA ,male
